Scaling parameters by 0.62 to account for a batch size of 5.
Per-GPU batch size is less than the recommended limit for batch norm. Disabling batch norm.
loading annotations into memory...
Done (t=10.04s)
creating index...
index created!
loading annotations into memory...
Done (t=1.21s)
creating index...
index created!
Resuming training, loading weights/yolact_im700_54_800000.pth...
Ignoring "Error(s) in loading state_dict for Yolact:
	size mismatch for prediction_layers.0.conf_layer.weight: copying a param with shape torch.Size([243, 256, 3, 3]) from checkpoint, the shape in current model is torch.Size([6, 256, 3, 3]).
	size mismatch for prediction_layers.0.conf_layer.bias: copying a param with shape torch.Size([243]) from checkpoint, the shape in current model is torch.Size([6]).
	size mismatch for semantic_seg_conv.weight: copying a param with shape torch.Size([80, 256, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 256, 1, 1]).
	size mismatch for semantic_seg_conv.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1])."
Begin training!

[  0]     370 || B: 0.621 | C: 1.000 | M: 0.421 | S: 0.044 | T: 2.086 || ETA: 4 days, 11:34:04 || timer: 0.304
[  0]     380 || B: 0.618 | C: 0.978 | M: 0.425 | S: 0.044 | T: 2.065 || ETA: 4 days, 11:34:17 || timer: 0.303
[  0]     390 || B: 0.658 | C: 1.010 | M: 0.432 | S: 0.044 | T: 2.144 || ETA: 4 days, 11:34:48 || timer: 0.306
[  0]     400 || B: 0.655 | C: 1.011 | M: 0.449 | S: 0.045 | T: 2.161 || ETA: 4 days, 11:35:35 || timer: 0.304
[  0]     410 || B: 0.684 | C: 1.016 | M: 0.466 | S: 0.046 | T: 2.211 || ETA: 4 days, 11:36:28 || timer: 0.306
[  0]     420 || B: 0.650 | C: 0.999 | M: 0.465 | S: 0.046 | T: 2.159 || ETA: 4 days, 11:38:26 || timer: 0.304
[  0]     430 || B: 0.682 | C: 1.019 | M: 0.461 | S: 0.046 | T: 2.208 || ETA: 4 days, 11:40:04 || timer: 0.303
[  0]     440 || B: 0.702 | C: 1.037 | M: 0.494 | S: 0.046 | T: 2.279 || ETA: 4 days, 11:41:39 || timer: 0.303
[  0]     450 || B: 0.740 | C: 1.086 | M: 0.517 | S: 0.046 | T: 2.388 || ETA: 4 days, 11:43:18 || timer: 0.309
[  0]     460 || B: 0.788 | C: 1.145 | M: 0.560 | S: 0.046 | T: 2.539 || ETA: 4 days, 11:44:15 || timer: 0.304
